mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__weight_decay,param_model__patience,param_model__learning_rate,param_model__hidden_layers,param_model__epochs,param_model__dropout,param_model__batch_size,param_model__batch_norm,param_model__activation,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted
1.2298365592956544,0.4869250479554394,0.005028200149536133,0.002829250914989842,0.0,10,0.0005,"(256, 128, 64)",100,0.0,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 10, 'model__learning_rate': 0.0005, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 100, 'model__dropout': 0.0, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5,0.6052631578947368,0.5526315789473685,0.5526315789473685,0.3684210526315789,0.5157894736842106,0.080854165767038,1,0.47977547886933974,0.607694675284703,0.5217391304347826,0.5169071873231467,0.3384825700615174,0.49291980839469784,0.0878667761135872,2
1.809565544128418,0.811339393197229,0.009694433212280274,0.003663137257511328,0.0,14,0.0005,"(128, 64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0005, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.47368421052631576,0.5,0.6052631578947368,0.4473684210526316,0.2894736842105263,0.4631578947368421,0.10205641805087008,7,0.4588642659279778,0.5092276144907725,0.5497076023391813,0.4317393133182607,0.23379800853485067,0.4366673609222086,0.10928499344432398,8
1.201467800140381,0.4631515646386456,0.007586002349853516,0.00417607950777668,0.01,10,0.0003,"(64, 32)",100,0.3,128,True,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'relu'}",0.5263157894736842,0.5,0.47368421052631576,0.4473684210526316,0.2894736842105263,0.4473684210526315,0.08321783316232576,8,0.5398891966759002,0.5133414932680539,0.49059299833293646,0.3958961731814917,0.2612880162789419,0.44020157554746475,0.10178349102846415,7
1.61141996383667,0.7247783521713789,0.006952857971191407,0.0008333988271960053,0.0,18,0.0005,"(64, 32)",80,0.1,32,True,relu,"{'model__weight_decay': 0.0, 'model__patience': 18, 'model__learning_rate': 0.0005, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': True, 'model__activation': 'relu'}",0.5263157894736842,0.5263157894736842,0.631578947368421,0.5,0.23684210526315788,0.4842105263157895,0.13168416845470318,4,0.5361842105263158,0.540498974709501,0.5955678670360111,0.4780701754385964,0.2010172490048651,0.47026769534305785,0.1396669138705319,3
0.9517771244049072,0.43140342798704734,0.008161211013793945,0.0014815762952147707,0.0,14,0.002,"(64, 32)",80,0.3,128,False,gelu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.3, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5263157894736842,0.5789473684210527,0.6578947368421053,0.5526315789473685,0.2631578947368421,0.5157894736842106,0.13377121081198776,1,0.5263157894736842,0.585916161400926,0.6058415268941585,0.529585326953748,0.21941520467836256,0.4934148018801758,0.1404726529585305,1
1.5848677635192872,0.5718333683819566,0.006951427459716797,0.0014906904227765664,0.0001,10,0.0003,"(128, 64, 32)",100,0.1,128,True,gelu,"{'model__weight_decay': 0.0001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (128, 64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': True, 'model__activation': 'gelu'}",0.6052631578947368,0.5263157894736842,0.6052631578947368,0.42105263157894735,0.2631578947368421,0.4842105263157895,0.12956351184306497,4,0.5731078053814593,0.5374446850579042,0.5853725222146275,0.4041555501657369,0.236785390199637,0.46737319060387295,0.13204610491460925,4
1.0736600875854492,0.5597010333442886,0.006205511093139648,0.0032873975497553984,0.001,10,0.0003,"(256, 128, 64)",80,0.1,128,False,gelu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.0003, 'model__hidden_layers': (256, 128, 64), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 128, 'model__batch_norm': False, 'model__activation': 'gelu'}",0.5263157894736842,0.6052631578947368,0.42105263157894735,0.5789473684210527,0.2894736842105263,0.48421052631578954,0.11602846150025581,3,0.5316670053512159,0.6095336380166102,0.30372807017543857,0.5562090710647587,0.24661654135338348,0.4495508651922814,0.1457121465723247,6
0.8387780666351319,0.26154832829506824,0.007450723648071289,0.0008650186640532055,0.0,14,0.0003,"(64, 32)",100,0.3,32,False,relu,"{'model__weight_decay': 0.0, 'model__patience': 14, 'model__learning_rate': 0.0003, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.3, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.47368421052631576,0.5789473684210527,0.3684210526315789,0.3157894736842105,0.3684210526315789,0.42105263157894735,0.0941502306315701,10,0.48101040076472007,0.5789473684210527,0.35634344481894387,0.3043859649122807,0.34059337533021744,0.41225611084944286,0.10238248873884634,10
1.107801580429077,0.552115668212784,0.007809925079345703,0.00092474801031778,0.01,10,0.002,"(64, 32)",100,0.1,32,False,relu,"{'model__weight_decay': 0.01, 'model__patience': 10, 'model__learning_rate': 0.002, 'model__hidden_layers': (64, 32), 'model__epochs': 100, 'model__dropout': 0.1, 'model__batch_size': 32, 'model__batch_norm': False, 'model__activation': 'relu'}",0.4473684210526316,0.5,0.631578947368421,0.5,0.3157894736842105,0.4789473684210527,0.10178462950428271,6,0.44825106243870544,0.5092276144907725,0.5922041946972696,0.48273461431356174,0.2695071010860484,0.4603849174052715,0.1066236475416292,5
0.8217897891998291,0.5345401276959957,0.010226917266845704,0.004565559761528691,0.001,10,0.001,"(64, 32)",80,0.1,64,False,relu,"{'model__weight_decay': 0.001, 'model__patience': 10, 'model__learning_rate': 0.001, 'model__hidden_layers': (64, 32), 'model__epochs': 80, 'model__dropout': 0.1, 'model__batch_size': 64, 'model__batch_norm': False, 'model__activation': 'relu'}",0.5,0.5789473684210527,0.42105263157894735,0.34210526315789475,0.2894736842105263,0.42631578947368426,0.10447070126989057,9,0.5021929824561403,0.5740728542256769,0.438693314252113,0.31061689549961863,0.2545579635362917,0.41602680199396813,0.1184063936106788,9
